keyword,fs_probability,ls_probability
我們,0.0,0.0
美國,0.3333333333333333,0.0
台灣,0.3333333333333333,0.0
經濟部,0.6666666666666666,0.0
進口,1.0,0.0
開放,0.6666666666666666,0.0
經濟,0.6666666666666666,0.0
臺灣,0.3333333333333333,0.0
關係,0.6666666666666666,0.0
經貿,0.6666666666666666,0.0
問題,0.3333333333333333,0.0
美牛,1.0,0.0
國際,0.6666666666666666,0.0
貿易,0.3333333333333333,0.0
豬肉,0.3333333333333333,0.0
政策,0.0,0.0
政府,0.3333333333333333,0.0
決定,0.3333333333333333,0.0
王美花,0.3333333333333333,0.0
萊克多巴胺,0.6666666666666666,0.0
